epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.092,1.40424,2.88603,1.39493,0.86993,0.2887,0.65749,0.40498,1.36605,3.39936,1.39734,0.000329749,0.000329749,0.000329749
2,1551.55,1.28895,1.65135,1.31308,0.8293,0.74564,0.81795,0.51652,1.40358,2.3124,1.45348,0.00063026,0.00063026,0.00063026
3,2443.86,1.28631,1.49064,1.30573,0.76063,0.70864,0.75977,0.47868,1.44924,2.33823,1.49822,0.000897771,0.000897771,0.000897771
4,3345.86,1.26357,1.39451,1.30451,0.79985,0.73956,0.81743,0.51227,1.41752,2.03962,1.46549,0.0008515,0.0008515,0.0008515
5,4228.32,1.23774,1.26397,1.27497,0.80273,0.79031,0.83848,0.53899,1.34756,1.75419,1.41826,0.000802,0.000802,0.000802
6,5147.51,1.20157,1.18876,1.26356,0.81475,0.81596,0.84845,0.55479,1.31904,1.54988,1.38962,0.0007525,0.0007525,0.0007525
7,6031.77,1.15943,1.07949,1.22611,0.81023,0.81276,0.85412,0.56197,1.34272,1.48526,1.41702,0.000703,0.000703,0.000703
8,7226.66,1.15284,1.05933,1.23166,0.84127,0.8162,0.86844,0.57032,1.32054,1.40508,1.39594,0.0006535,0.0006535,0.0006535
9,8163.73,1.11127,0.97119,1.19977,0.84782,0.81649,0.85765,0.56421,1.31112,1.34166,1.39976,0.000604,0.000604,0.000604
10,8837.18,1.10473,0.92913,1.20168,0.85382,0.83515,0.87138,0.58194,1.29203,1.21656,1.35947,0.0005545,0.0005545,0.0005545
11,9664.82,1.06252,0.90345,1.21281,0.85371,0.84356,0.8719,0.58081,1.27247,1.25161,1.35306,0.000505,0.000505,0.000505
12,10491,1.0396,0.84569,1.19876,0.86617,0.85896,0.88963,0.59653,1.25425,1.12824,1.34538,0.0004555,0.0004555,0.0004555
13,11372.3,1.01312,0.8024,1.17259,0.83315,0.88317,0.89162,0.59444,1.26719,1.07997,1.3465,0.000406,0.000406,0.000406
14,12179.8,0.99949,0.76805,1.17133,0.84091,0.85563,0.88611,0.60083,1.24489,1.13206,1.32816,0.0003565,0.0003565,0.0003565
15,12812.1,0.97888,0.7372,1.15437,0.85101,0.87206,0.89162,0.59826,1.26303,1.02646,1.35777,0.000307,0.000307,0.000307
16,13391.4,0.96766,0.71201,1.14341,0.85183,0.86934,0.88953,0.60626,1.22824,0.9969,1.31968,0.0002575,0.0002575,0.0002575
17,13972.3,0.95009,0.69552,1.14468,0.85678,0.87531,0.89291,0.60746,1.22914,0.98161,1.31536,0.000208,0.000208,0.000208
18,14555.6,0.93752,0.66327,1.13142,0.83975,0.89226,0.90253,0.62307,1.18402,0.93948,1.29562,0.0001585,0.0001585,0.0001585
19,15158.5,0.91212,0.63776,1.11484,0.84816,0.88585,0.89643,0.61778,1.19371,0.95314,1.29109,0.000109,0.000109,0.000109
20,15764.1,0.90122,0.62881,1.10494,0.85677,0.88734,0.89918,0.62249,1.19816,0.93007,1.2925,5.95e-05,5.95e-05,5.95e-05
